Test Size,Criterion,Splitter,Max Depth,Score,STDEV,MEAN
0.1,gini,best,5.0,0.0761904761904762,14.45683229480096,7
0.1,gini,best,6.0,0.05714285714285714,14.212670403551895,7
0.1,gini,best,7.0,0.047619047619047616,14.38749456993816,6
0.1,gini,best,8.0,0.05714285714285714,14.422205101855956,6
0.1,gini,best,9.0,0.06666666666666667,14.594519519326424,5
0.1,gini,best,10.0,0.05714285714285714,14.730919862656235,5
0.1,gini,best,11.0,0.05714285714285714,14.66287829861518,5
0.1,gini,best,12.0,0.06666666666666667,14.560219778561036,5
0.1,gini,best,13.0,0.06666666666666667,14.52583904633395,5
0.1,gini,best,14.0,0.06666666666666667,14.696938456699069,5
0.1,gini,best,15.0,0.06666666666666667,14.866068747318506,5
0.1,gini,best,16.0,0.06666666666666667,14.89966442575134,4
0.1,gini,best,17.0,0.06666666666666667,14.966629547095765,4
0.1,gini,best,18.0,0.06666666666666667,15.0,4
0.1,gini,best,19.0,0.06666666666666667,15.033296378372908,4
0.1,gini,best,20.0,0.06666666666666667,15.066519173319364,4
0.1,gini,best,21.0,0.06666666666666667,15.0996688705415,4
0.1,gini,best,22.0,0.06666666666666667,15.0996688705415,4
0.1,gini,best,23.0,0.06666666666666667,15.132745950421556,4
0.1,gini,best,24.0,0.06666666666666667,15.165750888103101,4
0.1,gini,best,25.0,0.06666666666666667,15.165750888103101,4
0.1,gini,best,26.0,0.06666666666666667,15.198684153570664,4
0.1,gini,best,27.0,0.06666666666666667,15.198684153570664,4
0.1,gini,best,28.0,0.06666666666666667,15.198684153570664,4
0.1,gini,best,29.0,0.06666666666666667,15.231546211727817,4
0.1,gini,best,30.0,0.06666666666666667,15.231546211727817,4
0.1,gini,best,31.0,0.06666666666666667,15.231546211727817,4
0.1,gini,best,32.0,0.06666666666666667,15.264337522473747,4
0.1,gini,best,33.0,0.06666666666666667,15.264337522473747,4
0.1,gini,best,34.0,0.06666666666666667,15.264337522473747,4
0.1,gini,best,35.0,0.06666666666666667,15.264337522473747,4
0.1,gini,random,5.0,0.06666666666666667,15.264337522473747,4
0.1,gini,random,6.0,0.0761904761904762,15.198684153570664,4
0.1,gini,random,7.0,0.047619047619047616,15.132745950421556,4
0.1,gini,random,8.0,0.05714285714285714,15.066519173319364,4
0.1,gini,random,9.0,0.0761904761904762,15.066519173319364,4
0.1,gini,random,10.0,0.047619047619047616,15.066519173319364,4
0.1,gini,random,11.0,0.05714285714285714,15.0996688705415,4
0.1,gini,random,12.0,0.05714285714285714,15.0996688705415,4
0.1,gini,random,13.0,0.047619047619047616,15.132745950421556,4
0.1,gini,random,14.0,0.047619047619047616,15.165750888103101,4
0.1,gini,random,15.0,0.047619047619047616,15.165750888103101,4
0.1,gini,random,16.0,0.047619047619047616,15.198684153570664,4
0.1,gini,random,17.0,0.047619047619047616,15.231546211727817,4
0.1,gini,random,18.0,0.047619047619047616,15.264337522473747,4
0.1,gini,random,19.0,0.047619047619047616,15.297058540778355,4
0.1,gini,random,20.0,0.047619047619047616,15.297058540778355,4
0.1,gini,random,21.0,0.047619047619047616,15.329709716755891,4
0.1,gini,random,22.0,0.047619047619047616,15.362291495737216,4
0.1,gini,random,23.0,0.047619047619047616,15.362291495737216,4
0.1,gini,random,24.0,0.047619047619047616,15.394804318340652,4
0.1,gini,random,25.0,0.047619047619047616,15.394804318340652,4
0.1,gini,random,26.0,0.047619047619047616,15.427248620541512,4
0.1,gini,random,27.0,0.047619047619047616,15.427248620541512,4
0.1,gini,random,28.0,0.047619047619047616,15.459624833740307,4
0.1,gini,random,29.0,0.047619047619047616,15.459624833740307,4
0.1,gini,random,30.0,0.047619047619047616,15.491933384829668,4
0.1,gini,random,31.0,0.047619047619047616,15.491933384829668,4
0.1,gini,random,32.0,0.047619047619047616,15.524174696260024,4
0.1,gini,random,33.0,0.047619047619047616,15.524174696260024,4
0.1,gini,random,34.0,0.047619047619047616,15.556349186104045,4
0.1,gini,random,35.0,0.047619047619047616,15.556349186104045,4
0.1,entropy,best,5.0,0.05714285714285714,15.588457268119896,4
0.1,entropy,best,6.0,0.05714285714285714,15.588457268119896,4
0.1,entropy,best,7.0,0.047619047619047616,15.556349186104045,4
0.1,entropy,best,8.0,0.047619047619047616,15.556349186104045,4
0.1,entropy,best,9.0,0.06666666666666667,15.556349186104045,4
