Test Size,Smoothing Parameter,Score,STDEV,MEAN
0.1,1e-09,0.02857142857142857,26.419689627245813,-18
0.1,1e-06,0.02857142857142857,25.612496949731394,-19
0.1,0.001,0.0,24.20743687382041,-14
0.1,1.0,0.01904761904761905,24.1039415863879,-9
0.1,10.0,0.02857142857142857,23.430749027719962,-6
0.2,1e-09,0.01904761904761905,24.351591323771842,-10
0.2,1e-06,0.01904761904761905,24.596747752497688,-12
0.2,0.001,0.023809523809523808,24.372115213907882,-9
0.2,1.0,0.047619047619047616,23.895606290697042,-6
0.2,10.0,0.03333333333333333,23.366642891095847,-5
0.30000000000000004,1e-09,0.01592356687898089,23.08679276123039,-4
0.30000000000000004,1e-06,0.012738853503184714,22.825424421026653,-3
0.30000000000000004,0.001,0.01910828025477707,22.38302928559939,-2
0.30000000000000004,1.0,0.03503184713375796,21.93171219946131,-1
0.30000000000000004,10.0,0.028662420382165606,21.517434791350013,0
0.4,1e-09,0.007159904534606206,22.24859546128699,-1
0.4,1e-06,0.00477326968973747,22.737634001804146,-2
0.4,0.001,0.021479713603818614,22.338307903688676,-1
0.4,1.0,0.0405727923627685,21.93171219946131,-1
0.4,10.0,0.03818615751789976,21.563858652847824,0
0.5,1e-09,0.0076481835564053535,22.045407685048602,-1
0.5,1e-06,0.017208413001912046,21.817424229271428,0
0.5,0.001,0.02676864244741874,21.494185260204677,0
0.5,1.0,0.040152963671128104,21.142374511865974,0
0.5,10.0,0.04206500956022945,20.83266665599966,0
0.6,1e-09,0.007961783439490446,21.494185260204677,0
0.6,1e-06,0.022292993630573247,21.37755832643195,0
0.6,0.001,0.025477707006369428,21.095023109728988,0
0.6,1.0,0.03980891719745223,20.83266665599966,0
0.6,10.0,0.041401273885350316,20.566963801203133,0
0.7000000000000001,1e-09,0.019099590723055934,20.42057785666214,0
0.7000000000000001,1e-06,0.020463847203274217,20.273134932713294,0
0.7000000000000001,0.001,0.0286493860845839,20.09975124224178,0
0.7000000000000001,1.0,0.03274215552523874,19.87460691435179,1
0.7000000000000001,10.0,0.03274215552523874,19.72308292331602,1
0.8,1e-09,0.026284348864994027,19.595917942265423,1
0.8,1e-06,0.023894862604540025,19.44222209522358,2
0.8,0.001,0.04062126642771804,19.28730152198591,2
0.8,1.0,0.038231780167264036,19.1049731745428,2
0.8,10.0,0.04181600955794504,18.947295321496416,2
0.9,1e-09,0.021231422505307854,19.05255888325765,2
0.9,1e-06,0.020169851380042462,19.1049731745428,2
0.9,0.001,0.04246284501061571,18.947295321496416,2
0.9,1.0,0.04246284501061571,18.76166303929372,2
0.9,10.0,0.041401273885350316,18.601075237738275,2
